flate	none	64	control/spin-fixed-work	0	54709586
flate	none	64	flate/compress	0	188177107
flate	none	64	flate/decompress	0	350228784
regexp	loop32	32	control/spin-fixed-work	0	54685266
regexp	loop32	32	regexp/find-submatch	0	382687145
regexp	loop32	32	regexp/anchored-lines	0	174586973
regexp	loop32	32	regexp/replace	0	405173335
sha	none	96	control/spin-fixed-work	0	54700507
sha	none	96	sha/sha256-1mib	0	67752363
sha	none	96	sha/hmac-1mib	0	41112450
flate	loop32	64	control/spin-fixed-work	0	54675987
flate	loop32	64	flate/compress	0	185244707
flate	loop32	64	flate/decompress	0	349124830
sortmap	loop32	96	control/spin-fixed-work	0	54682428
sortmap	loop32	96	sort/ints	0	221153273
sortmap	loop32	96	sort/slice-callback	0	87432269
sortmap	loop32	96	map/build-probe	0	209090019
p256	a32	32	control/spin-fixed-work	0	54700268
p256	a32	32	p256/sign-verify	0	293319765
p256	a32	32	p256/verify	0	214782347
sha	loop32	32	control/spin-fixed-work	0	54679589
sha	loop32	32	sha/sha256-1mib	0	67781084
sha	loop32	32	sha/hmac-1mib	0	41094931
sha	none	128	control/spin-fixed-work	0	54684748
sha	none	128	sha/sha256-1mib	0	67774284
sha	none	128	sha/hmac-1mib	0	41116852
sha	loop32	64	control/spin-fixed-work	0	54702309
sha	loop32	64	sha/sha256-1mib	0	67775965
sha	loop32	64	sha/hmac-1mib	0	41140972
interp	a32	128	control/spin-fixed-work	0	54678349
interp	a32	128	interp/bytecode-loop	0	731040238
flate	none	128	control/spin-fixed-work	0	54687589
flate	none	128	flate/compress	0	186225675
flate	none	128	flate/decompress	0	349799884
json	loop32	64	control/spin-fixed-work	0	54694589
json	loop32	64	json/marshal	0	220963081
json	loop32	64	json/unmarshal	0	342115035
sortmap	a32	128	control/spin-fixed-work	0	54665790
sortmap	a32	128	sort/ints	0	218207559
sortmap	a32	128	sort/slice-callback	0	87699912
sortmap	a32	128	map/build-probe	0	217304359
flate	none	32	control/spin-fixed-work	0	54692710
flate	none	32	flate/compress	0	187350640
flate	none	32	flate/decompress	0	349867650
json	none	96	control/spin-fixed-work	0	54681111
json	none	96	json/marshal	0	244028835
json	none	96	json/unmarshal	0	373431604
sortmap	loop32	64	control/spin-fixed-work	0	54656631
sortmap	loop32	64	sort/ints	0	221399128
sortmap	loop32	64	sort/slice-callback	0	87873035
sortmap	loop32	64	map/build-probe	0	200362101
interp	none	64	control/spin-fixed-work	0	54675791
interp	none	64	interp/bytecode-loop	0	712850612
text	loop32	96	control/spin-fixed-work	0	54671072
text	loop32	96	text/format-append	0	196734058
text	loop32	96	text/parse	0	227369099
text	loop32	96	text/sprintf	0	299206154
text	loop32	96	text/utf8-decode	0	129449211
regexp	loop32	96	control/spin-fixed-work	0	54675793
regexp	loop32	96	regexp/find-submatch	0	381167585
regexp	loop32	96	regexp/anchored-lines	0	171759628
regexp	loop32	96	regexp/replace	0	392367042
text	loop32	64	control/spin-fixed-work	0	54664393
text	loop32	64	text/format-append	0	172491510
text	loop32	64	text/parse	0	226492903
text	loop32	64	text/sprintf	0	255502262
text	loop32	64	text/utf8-decode	0	129614334
p256	none	32	control/spin-fixed-work	0	54755433
p256	none	32	p256/sign-verify	0	295215397
p256	none	32	p256/verify	0	213765728
sortmap	loop32	128	control/spin-fixed-work	0	54644833
sortmap	loop32	128	sort/ints	0	221132898
sortmap	loop32	128	sort/slice-callback	0	87670278
sortmap	loop32	128	map/build-probe	0	205666798
interp	loop32	128	control/spin-fixed-work	0	54765195
interp	loop32	128	interp/bytecode-loop	0	674186038
json	loop32	96	control/spin-fixed-work	0	54688194
json	loop32	96	json/marshal	0	232470038
json	loop32	96	json/unmarshal	0	338555303
text	a32	64	control/spin-fixed-work	0	54655955
text	a32	64	text/format-append	0	186038575
text	a32	64	text/parse	0	227430832
text	a32	64	text/sprintf	0	262063041
text	a32	64	text/utf8-decode	0	130930260
p256	none	128	control/spin-fixed-work	0	54723316
p256	none	128	p256/sign-verify	0	293158645
p256	none	128	p256/verify	0	215414378
text	loop32	32	control/spin-fixed-work	0	54711075
text	loop32	32	text/format-append	0	185975178
text	loop32	32	text/parse	0	226857635
text	loop32	32	text/sprintf	0	290002443
text	loop32	32	text/utf8-decode	0	130710902
json	loop32	32	control/spin-fixed-work	0	54677556
json	loop32	32	json/marshal	0	221773950
json	loop32	32	json/unmarshal	0	332055744
text	none	128	control/spin-fixed-work	0	54682076
text	none	128	text/format-append	0	206127769
text	none	128	text/parse	0	232741607
text	none	128	text/sprintf	0	279432313
text	none	128	text/utf8-decode	0	130571584
interp	none	96	control/spin-fixed-work	0	54677197
interp	none	96	interp/bytecode-loop	0	687136173
regexp	a32	32	control/spin-fixed-work	0	54678438
regexp	a32	32	regexp/find-submatch	0	381142381
regexp	a32	32	regexp/anchored-lines	0	172190925
regexp	a32	32	regexp/replace	0	396769486
json	a32	128	control/spin-fixed-work	0	54669358
json	a32	128	json/marshal	0	230482929
json	a32	128	json/unmarshal	0	343071532
text	none	96	control/spin-fixed-work	0	54672078
text	none	96	text/format-append	0	210139982
text	none	96	text/parse	0	231787893
text	none	96	text/sprintf	0	293372903
text	none	96	text/utf8-decode	0	130262348
text	none	64	control/spin-fixed-work	0	54692319
text	none	64	text/format-append	0	187533751
text	none	64	text/parse	0	231508055
text	none	64	text/sprintf	0	251387924
text	none	64	text/utf8-decode	0	130862110
sortmap	none	32	control/spin-fixed-work	0	54686840
sortmap	none	32	sort/ints	0	221628522
sortmap	none	32	sort/slice-callback	0	88919969
sortmap	none	32	map/build-probe	0	207814823
regexp	a32	96	control/spin-fixed-work	0	54674520
regexp	a32	96	regexp/find-submatch	0	381531637
regexp	a32	96	regexp/anchored-lines	0	170742650
regexp	a32	96	regexp/replace	0	398446064
p256	loop32	64	control/spin-fixed-work	0	54693961
p256	loop32	64	p256/sign-verify	0	294767474
p256	loop32	64	p256/verify	0	214289475
flate	a32	128	control/spin-fixed-work	0	54688920
flate	a32	128	flate/compress	0	184272031
flate	a32	128	flate/decompress	0	351844359
regexp	none	128	control/spin-fixed-work	0	54692561
regexp	none	128	regexp/find-submatch	0	374154274
regexp	none	128	regexp/anchored-lines	0	168477130
regexp	none	128	regexp/replace	0	394268067
sha	a32	96	control/spin-fixed-work	0	54681281
sha	a32	96	sha/sha256-1mib	0	67771941
sha	a32	96	sha/hmac-1mib	0	41147301
sortmap	loop32	32	control/spin-fixed-work	0	54677122
sortmap	loop32	32	sort/ints	0	220936370
sortmap	loop32	32	sort/slice-callback	0	87767931
sortmap	loop32	32	map/build-probe	0	201407541
interp	loop32	32	control/spin-fixed-work	0	54682842
interp	loop32	32	interp/bytecode-loop	0	669709645
sha	none	32	control/spin-fixed-work	0	54767243
sha	none	32	sha/sha256-1mib	0	67836022
sha	none	32	sha/hmac-1mib	0	41141822
flate	loop32	96	control/spin-fixed-work	0	54682963
flate	loop32	96	flate/compress	0	186854001
flate	loop32	96	flate/decompress	0	349593528
regexp	none	32	control/spin-fixed-work	0	54682962
regexp	none	32	regexp/find-submatch	0	374097126
regexp	none	32	regexp/anchored-lines	0	168728775
regexp	none	32	regexp/replace	0	395020641
sha	a32	64	control/spin-fixed-work	0	54687403
sha	a32	64	sha/sha256-1mib	0	67745463
sha	a32	64	sha/hmac-1mib	0	41113582
sortmap	a32	32	control/spin-fixed-work	0	54679004
sortmap	a32	32	sort/ints	0	218330772
sortmap	a32	32	sort/slice-callback	0	87746013
sortmap	a32	32	map/build-probe	0	196406100
interp	none	128	control/spin-fixed-work	0	54699124
interp	none	128	interp/bytecode-loop	0	701064315
flate	none	96	control/spin-fixed-work	0	54726604
flate	none	96	flate/compress	0	186513807
flate	none	96	flate/decompress	0	350678899
regexp	loop32	64	control/spin-fixed-work	0	54687324
regexp	loop32	64	regexp/find-submatch	0	398103814
regexp	loop32	64	regexp/anchored-lines	0	171733305
regexp	loop32	64	regexp/replace	0	407552791
sortmap	none	64	control/spin-fixed-work	0	54693085
sortmap	none	64	sort/ints	0	221618023
sortmap	none	64	sort/slice-callback	0	88785098
sortmap	none	64	map/build-probe	0	206172401
